New Unit no.;30;31;32;33;34;35;36;37;38;39
Default Unit no.;30;31;32;33;34;35;36;37;38;39
Type;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1
Tr;0;0;0;0;0;0;0;0;0;0
Vimax;8;5.2;5;5;9.9;5;6.5;5;9.9;9.9
Vimin;-8;-5.2;-5;-5;-9.9;-5;-6.5;-5;-9.9;-9.9
Tc;0;0;0;0;0;0;0;0;0;0
Tb;0;0;0;0;0;0;0;0;0;0
Ka;10.1;10.1;10.1;10.1;40;10.1;40;10.1;40;10.1
Ta;0.06;0.05;0.06;0.06;0.02;0.02;0.02;0.02;0.02;0.02
Vrmax;8;5.2;5;5;9.9;5;6.5;5;9.9;9.9
Vrmin;-8;-5.2;-5;-5;-9.9;-5;-6.5;-5;-9.9;-9.9
Kc;1;1;1;1;1;1;1;1;1;1
Kf;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.23
Tf;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3
Vref;1;1;1;1;1;1;1;1;1;1
