New Unit no.;30;31;32;33;34;35;36;37;38;39;;;;
Default Unit no.;10;2;3;5;4;6;7;8;9;1;;;;
Type;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;;;;
Operation;NG;NG;NG;NG;NG;NG;NG;NG;NG;NG;;;;this is completely from paper
Td0_p;9.37;6.56;5.7;5.4;5.69;7.3;5.66;6.7;4.79;10.2;;;;
Td0_pp;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;;;;
Tq0_p;1.5;1.5;1.5;0.44;1.5;0.4;1.5;0.41;1.96;1.5;;;;
Tq0_pp;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;;;;
H;31;30.2;35.8;26;28.6;34.8;26.4;24.3;34.5;42;;;;
D;5.56;9.75;10;3;10;10;8;9;14;4;;;;
Xd;0.169;0.295;0.2495;0.33;0.262;0.254;0.295;0.29;0.2106;0.1;;;;
Xq;0.115;0.282;0.237;0.31;0.258;0.241;0.292;0.28;0.205;0.069;;;;
Xd_p;0.0457;0.0697;0.0531;0.066;0.0436;0.05;0.049;0.057;0.057;0.031;;;;
Xq_p;0.045;0.06;0.05;0.06;0.04;0.045;0.045;0.05;0.05;0.028;;;;
Xd_pp;0.04;0.05;0.045;0.05;0.035;0.04;0.04;0.045;0.045;0.025;;;;
Xl;0.0199;0.035;0.0304;0.027;0.0295;0.0224;0.0322;0.0028;0.00298;0.0125;;;;
S1;0;0;0;0;0;0;0;0;0;0;;;;
S1.2;0;0;0;0;0;0;0;0;0;0;;;;
ra;0;0;0;0;0;0;0;0;0;0;;;;
ext;0;0;0;0;0;0;0;0;0;0;;;;
