New Unit no.;30;31;32;33;34;35;36;37;38;39
Default Unit no.;30;31;32;33;34;35;36;37;38;39
Type;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST
input_code;1;1;1;1;1;1;1;1;1;1
remote_bus_control;1;1;1;1;1;1;1;1;1;1
A1;0;0;0;0;0;0;0;0;0;0
A2;0;0;0;0;0;0;0;0;0;0
A3;0;0;0;0;0;0;0;0;0;0
A4;0;0;0;0;0;0;0;0;0;0
A5;0;0;0;0;0;0;0;0;0;0
A6;0;0;0;0;0;0;0;0;0;0
T1;1;5;3;1;1.5;0.5;0.2;1;1;5
T2;0.05;0.4;0.2;0.1;0.2;0.1;0.02;0.2;0.5;0.6
T3;3;1;2;1;1;0.5;0.5;1;2;3
T4;0.5;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.5
T5;10;10;10;10;10;10;10;10;10;10
T6;10;10;10;10;10;10;10;10;10;10
Ks;1;0.5;0.5;2;1;4;7.5;2;2;1
Lsmax;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Lsmin;-0.2;-0.2;-0.2;-0.2;-0.2;-0.2;-0.2;-0.2;-0.2;-0.2
Vcu;0;0;0;0;0;0;0;0;0;0
Vcl;0;0;0;0;0;0;0;0;0;0
ext;;;;;;;;;;
