New Unit no.;138;158;139;159;119;120;140;141;142;160;121;122;161;123;143;144;145;162;163;124;125;126;146;147;127;128;148;129;130;131;149;164;165;150;151;152;132;153;133;134;166;167;154;168;135;136;155;156;169;157;137;170;171;172;;
Default Unit no.;1;4;6;8;10;12;15;18;19;24;25;26;27;31;32;34;36;40;42;46;49;54;55;56;59;61;62;65;66;69;70;72;73;74;76;77;80;85;87;89;90;91;92;99;100;103;104;105;107;110;111;112;113;116;;
Type;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;;
Tr;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;;Se(2.2508,0.4811)
Vmax;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;10;;Esat(3,4)
Vmin;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-10;;Se(0.09,0.368)
Ta;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;;
Te;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;;
Tf;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
Ka;10;0.05;10;10;10;10;10;10;10;0.05;5;10;0.05;0.05;10;10;10;10;10;0.05;10;10;10;10;10;10;10;10;5;10;10;0.05;0.05;10;10;10;10;10;0.05;10;10;10;10;10;10;10;10;10;10;10;10;10;0.1;10;;
Ke;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
Kf;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;;
Ae;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;;0.07
Be;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;;0.91
