New Unit no.;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;171
Default Unit no.;10;12;25;26;31;46;49;54;59;61;65;66;69;80;87;89;100;103;111;113
Type;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI;TGTypeI
R;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Ts;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Tc;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45
T3;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001
T4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
T5;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
min;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15
max;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
