New Unit no.;138;158;139;159;119;120;140;141;142;160;121;122;161;123;143;144;145;162;163;124;125;126;146;147;127;128;148;129;130;131;149;164;165;150;151;152;132;153;133;134;166;167;154;168;135;136;155;156;169;157;137;170;171;172
Default Unit no.;1;4;6;8;10;12;15;18;19;24;25;26;27;31;32;34;36;40;42;46;49;54;55;56;59;61;62;65;66;69;70;72;73;74;76;77;80;85;87;89;90;91;92;99;100;103;104;105;107;110;111;112;113;116
Type;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU
Operation;SYNC;SYNC;SYNC;SYNC;NG;PEL;SYNC;SYNC;SYNC;SYNC;NG;COW;SYNC;COW;SYNC;SYNC;SYNC;SYNC;SYNC;NG;NG;NG;SYNC;SYNC;NG;NG;SYNC;NG;COW;COW;SYNC;SYNC;SYNC;SYNC;SYNC;SYNC;COW;SYNC;NG;COW;SYNC;SYNC;SYNC;SYNC;COW;NG;SYNC;SYNC;SYNC;SYNC;NG;SYNC;SYNC;SYNC
Td0_p;8;4.75;8;5.5;0.5573;8.97;8;11.6;8;4.75;0.9754;0.8418;4.75;1.0748;8;8;8;6.6;6.1;1.0748;0.9754;1.1;8;8;1.061;1.061;8;0.6035;0.6035;0.5573;11.6;4.75;4.75;8;8;8;0.5573;8;1.0748;5.69;5.9;5.5;8;6.1;0.9754;1.1;8;8;5.5;8;1.1;5.9;6.6;55.21
Td0_pp;0.0525;0.0035;0.0525;0.008;0.0246;0.033;0.0525;0.058;0.0525;0.0035;0.0473;0.035;0.0035;0.0267;0.0525;0.0525;0.0525;0.008;0.038;0.0267;0.0473;0.0277;0.0525;0.0525;0.0336;0.0336;0.0525;0.0556;0.0556;0.0246;0.058;0.0035;0.0035;0.0525;0.0525;0.0525;0.0246;0.0525;0.0267;0.041;0.038;0.008;0.0525;0.038;0.0473;0.0277;0.0525;0.0525;0.008;0.0525;0.0277;0.038;0.008;0.042
Tq0_p;0.008;1.5;0.008;0.008;0.1371;0.5;0.008;0.159;0.008;1.5;0.875;0.8676;1.5;0.1102;0.008;0.008;0.008;0.008;0.3;0.1102;0.875;0.1086;0.008;0.008;0.8895;0.8895;0.008;0.1367;0.1367;0.1371;0.159;1.5;1.5;0.008;0.008;0.008;0.1371;0.008;0.1102;1.5;0.3;0.008;0.008;0.3;0.875;0.1086;0.008;0.008;0.008;0.008;0.1086;0.3;0.008;1.5
Tq0_pp;0.0151;0.21;0.0151;0.008;0.0272;0.07;0.0151;0.201;0.0151;0.21;0.0134;0.035;0.21;0.0358;0.0151;0.0151;0.0151;0.008;0.099;0.0358;0.0134;0.0351;0.0151;0.0151;0.0381;0.0381;0.0151;0.0319;0.0319;0.0272;0.201;0.21;0.21;0.0151;0.0151;0.0151;0.0272;0.0151;0.0358;0.144;0.092;0.008;0.0151;0.099;0.0134;0.0351;0.0151;0.0151;0.008;0.0151;0.0351;0.092;0.008;0.042
H;1.2;5.016;1.2;2;2.32;4.768;1.2;1.52;1.2;5.016;3;3.704;5.016;6.187;1.2;1.2;1.2;5.078;6.186;6.187;3;4.985;1.2;1.2;4.122;4.122;1.2;2.631;2.631;2.32;1.52;5.016;5.016;1.2;1.2;1.2;2.32;1.2;6.187;2.64;4.985;2;1.2;6.186;3;4.985;1.2;1.2;2;1.2;4.985;4.985;5.078;2.621
D;0;2;0;0;2;2;0;0;0;2;2;2;2;2;0;0;0;2;2;2;2;2;0;0;2;2;0;2;2;2;0;2;2;0;0;0;2;0;2;2;2;0;0;2;2;2;0;0;0;0;2;2;2;2
Xd;1.769;1.25;1.769;1.4;2.11;1.22;1.769;2.373;1.769;1.25;1.95;1.7668;1.25;1.05;1.769;1.769;1.769;1.27;1.05;1.05;1.95;1.18;1.769;1.769;1.569;1.569;1.769;1.7;1.7;2.11;2.373;1.25;1.25;1.769;1.769;1.769;2.11;1.769;1.05;2.183;1.18;1.4;1.769;1.05;1.95;1.18;1.769;1.769;1.4;1.769;1.18;1.18;1.27;1.798
Xq;0.855;1.22;0.855;1.372;2.02;1.16;0.855;1.172;0.855;1.22;1.92;1.7469;1.22;0.98;0.855;0.855;0.855;1.24;0.98;0.98;1.92;1.05;0.855;0.855;1.548;1.548;0.855;1.65;1.65;2.02;1.172;1.22;1.22;0.855;0.855;0.855;2.02;0.855;0.98;2.157;1.05;1.372;0.855;0.98;1.92;1.05;0.855;0.855;1.372;0.855;1.05;1.05;1.24;1.778
Xd_p;0.304;0.232;0.304;0.231;0.28;0.174;0.304;0.343;0.304;0.232;0.317;0.2378;0.232;0.185;0.304;0.304;0.304;0.209;0.185;0.185;0.317;0.22;0.304;0.304;0.324;0.324;0.304;0.27;0.27;0.28;0.343;0.232;0.232;0.304;0.304;0.304;0.28;0.304;0.185;0.413;0.22;0.231;0.304;0.185;0.317;0.22;0.304;0.304;0.231;0.304;0.22;0.22;0.209;0.324
Xq_p;0.5795;0.715;0.5795;0.06;0.49;0.25;0.5795;1.172;0.5795;0.715;1.12;1.0104;0.715;0.36;0.5795;0.5795;0.5795;0.85;0.36;0.36;1.12;0.38;0.5795;0.5795;0.918;0.918;0.5795;0.47;0.47;0.49;1.172;0.715;0.715;0.5795;0.5795;0.5795;0.49;0.5795;0.36;1.285;0.38;0.06;0.5795;0.36;1.12;0.38;0.5795;0.5795;0.06;0.5795;0.38;0.38;0.85;1.051
Xd_pp;0.2035;0.12;0.2035;0.05;0.215;0.134;0.2035;0.231;0.2035;0.12;0.2;0.2284;0.12;0.13;0.2035;0.2035;0.2035;0.105;0.13;0.13;0.2;0.145;0.2035;0.2035;0.249;0.249;0.2035;0.2;0.2;0.215;0.231;0.12;0.12;0.2035;0.2035;0.2035;0.215;0.2035;0.13;0.339;0.145;0.05;0.2035;0.13;0.2;0.145;0.2035;0.2035;0.05;0.2035;0.145;0.145;0.105;0.26
