New Unit no.;1;2;3;6;8;;;;;;;;;
Default Unit no.;1;2;3;6;8;;;;;;;;;
Type;GENROU;GENROU;GENROU;GENROU;GENROU;;;;;;;;;
Operation;NG;NG;NG;NG;NG;;;;;;;;;
H;2.656;4.985;1.52;1.2;1.2;;;;;15;16;17;19;18
D;2;2;0;0;0;;;;;;;;;
ra;0.0043;0.0035;0;0.0025;0.0025;;;;;;;;;
Xd;1.67;1.18;2.373;1.769;1.769;;;;;;;;;
Xq;1.6;1.05;1.172;0.855;0.855;;;;;;;;;
Xd_p;0.265;0.22;0.343;0.304;0.304;;;;;;;;;
Xq_p;0.46;0.38;1.172;0.58;0.58;;;;;;;;;
Xd_pp;0.205;0.145;0.231;0.204;0.204;;;;;;;;;
Xq_pp;0.205;0.145;0.231;0.204;0.204;;;;;;;;;
Xl;0.15;0.075;0.15;0.105;0.105;;;;;;;;;
Td0_p;0.587;1.1;11.6;8;8;;;;;;;;;
Tq0_p;0.135;0.109;0.159;0.008;0.008;;;;;;;;;
Td0_pp;0.025;0.028;0.058;0.053;0.053;;;;;;;;;
Tq0_pp;0.027;0.035;0.201;0.015;0.015;;;;;;;;;
S1;0.091;0.093;0.295;0.304;0.304;;;;;;;;;
S1.2;0.4;0.404;0.776;0.666;0.666;;;;;;;;;
