New Unit no.;6;73;76;99;101;108;114;118;121;125;130;131
Default Unit no.;6;73;76;99;101;108;114;118;121;125;130;131
Type;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1
Tr;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Vimax;999;999;999;999;999;999;999;999;999;999;999;999
Vimin;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
Tc;1;1;1;1;1;1;1;1;1;1;1;1
Tb;10;10;10;10;10;10;10;10;10;10;10;10
Ka;200;200;200;200;200;200;200;200;200;200;200;200
Ta;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015
Vrmax;999;999;999;999;999;999;999;999;999;999;999;999
Vrmin;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
Kc;0;0;0;0;0;0;0;0;0;0;0;0
Kf;0;0;0;0;0;0;0;0;0;0;0;0
Tf;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Vref;1;1;1;1;1;1;1;1;1;1;1;1
