New Unit no.;6;73;76;99;101;108;114;118;121;125;130;131;;
Default Unit no.;6;73;76;99;101;108;114;118;121;125;130;131;;
Type;TGOVI;TGOVI;TGOVI;TGOVI;TGOVI;TGOVI;TGOVI;TGOVI;TGOVI;TGOVI;TGOVI;TGOVI;;
R;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;;0.01
T1;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;;0.2
Vmax;40;40;40;40;40;40;40;40;40;40;40;40;;15
Vmin;0;0;0;0;0;0;0;0;0;0;0;0;;0
T2;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;;2.6
T3;5;5;5;5;5;5;5;5;5;5;5;5;;8.7
DT;0;0;0;0;0;0;0;0;0;0;0;0;;0
