New Unit no.;6;73;76;99;101;108;114;118;121;125;130;131
Default Unit no.;6;73;76;99;101;108;114;118;121;125;130;131
Type;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU
Operation;NG;NG;NG;NG;NG;NG;NG;NG;NG;NG;NG;NG
Td0_p;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8
Td0_pp;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Tq0_p;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
Tq0_pp;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035
H;6;6;6;6;6;6;6;6;6;6;6;6
D;0;0;0;0;0;0;0;0;0;0;0;0
Xd;0.262;0.262;0.262;0.262;0.262;0.262;0.262;0.262;0.262;0.262;0.262;0.262
Xq;0.258;0.258;0.258;0.258;0.258;0.258;0.258;0.258;0.258;0.258;0.258;0.258
Xd_p;0.0436;0.0436;0.0436;0.0436;0.0436;0.0436;0.0436;0.0436;0.0436;0.0436;0.0436;0.0436
Xq_p;0.166;0.166;0.166;0.166;0.166;0.166;0.166;0.166;0.166;0.166;0.166;0.166
Xd_pp;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035
Xl;0.0295;0.0295;0.0295;0.0295;0.0295;0.0295;0.0295;0.0295;0.0295;0.0295;0.0295;0.0295
S1;1;1;1;1;1;1;1;1;1;1;1;1
S1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2
ra;0;0;0;0;0;0;0;0;0;0;0;0
ext;0;0;0;0;0;0;0;0;0;0;0;0
