New Unit no.;31;32;33;34;35;36
Default Unit no.;1;2;5;8;11;13
Type;IEEET1;IEEET1;IEEET1;IEEET1;IEEET1;IEEET1
Rated power (MVA);270;51.2;40;40;25;25
Rated voltage (kV);18;13.8;13.8;13.8;13.8;13.8
Tr;0;0;0;0;0;0
Ka;30;400;400;400;400;400
Ta;0.4;0.05;0.05;0.05;0.05;0.05
Vrmax;4.59;0.613;6.63;6.63;4.407;4.407
Vrmin;-4.59;-0.613;-6.63;-6.63;-4.407;-4.407
Ke;-0.02;-0.0769;-0.17;-0.17;-0.17;-0.17
Te;0.56;1.37;0.95;0.95;0.95;0.95
Kf;0.05;0.04;0.04;0.04;0.04;0.04
Tf;1.3;1;1;1;1;1
E1;2.5875;3.0975;6.375;6.375;4.2375;4.2375
SE(E1);0.7298;0.1117;0.2174;0.2174;0.2174;0.2174
E2;3.45;4.13;8.5;8.5;5.65;5.65
SE(E2);1.3496;0.2248;0.9388;0.9388;0.9386;0.9386
