New Unit no.;30;31;32;33;34;35;36;37;38;39;;AVR from .dyn file;
Default Unit no.;30;31;32;33;34;35;36;37;38;39;;;
Type;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;EXST1;;;
Tr;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;;;
Vimax;999;999;999;999;999;999;999;999;999;999;;;
Vimin;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;;;
Tc;1;1;1;1;1;1;1;1;1;1;;;
Tb;10;10;10;10;10;10;10;10;10;10;;;
Ka;150;150;150;150;150;150;150;150;150;150;;200;lowered gain
Ta;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;;;
Vrmax;999;999;999;999;999;999;999;999;999;999;;;
Vrmin;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;;;
Kc;0;0;0;0;0;0;0;0;0;0;;;
Kf;0;0;0;0;0;0;0;0;0;0;;;
Tf;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;;;
Vref;1;1;1;1;1;1;1;1;1;1;;;
