New Unit no.;59;60;61;58;62;63;64
Default Unit no.;8;1;12;3;2;6;9
Type;IEEET1;IEEET1;IEEET1;IEEET1;IEEET1;IEEET1;IEEET1
Rated power (MVA);512;512;512;51.2;25;25;25
Rated voltage (kV);24;24;24;13.8;13.8;13.8;13.8
Tr;0;0;0;0;0;0;0
Ka;200;200;200;400;400;400;400
Ta;0.395;0.395;0.395;0.05;0.05;0.05;0.05
Vrmax;3.84;3.84;3.84;0.613;4.407;4.407;4.407
Vrmin;-3.84;-3.84;-3.84;-0.613;-4.407;-4.407;-4.407
Ke;1;1;1;-0.0769;-0.17;-0.17;-0.17
Te;0.002;0.002;0.002;1.37;0.95;0.95;0.95
Kf;0.0635;0.0635;0.0635;0.04;0.04;0.04;0.04
Tf;1;1;1;1;1;1;1
E1;2.88;2.88;2.88;3.0975;4.2375;4.2375;4.2375
SE(E1);0;0;0;0.1117;0.2174;0.2174;0.2174
E2;3.84;3.84;3.84;4.13;5.65;5.65;5.65
SE(E2);0;0;0;0.2248;0.9386;0.9386;0.9386
