New Unit no.;59;60;61;58;62;63;64
Default Unit no.;8;1;12;3;2;6;4
Type;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU;GENROU
Operation;SYNC;SYNC;SYNC;SYNC;CON;CON;CON
Rated power (MVA);512;512;512;51.2;25;25;25
Rated voltage (kV);24;24;24;13.8;13.8;13.8;13.8
Rated pf;0.9;0.9;0.9;0.8;0;0;0
H;2.6309;2.6309;2.6309;5.078;1.2;1.2;1.2
D;2;2;2;2;0;0;0
ra;0.004;0.004;0.004;0;0.0025;0.0025;0.0025
Xd;1.7;1.7;1.7;1.27;1.769;1.769;1.769
Xq;1.65;1.65;1.65;1.24;0.855;0.855;0.855
Xd_p;0.27;0.27;0.27;0.209;0.304;0.304;0.304
Xq_p;0.47;0.47;0.47;0.85;0.5795;0.5795;0.5795
Xd_pp;0.2;0.2;0.2;0.116;0.2035;0.2035;0.2035
Xq_pp;0.2;0.2;0.2;0.116;0.2035;0.2035;0.2035
Xl;0.16;0.16;0.16;0.108;0.1045;0.1045;0.1045
Td0_p;3.8;3.8;3.8;6.6;8;8;8
Tq0_p;0.48;0.48;0.48;0.004;0.008;0.008;0.008
Td0_pp;0.004;0.004;0.004;0.004;0.0525;0.0525;0.0525
Tq0_pp;0.004;0.004;0.004;0.004;0.0151;0.0151;0.0151
S1;0.09;0.09;0.09;0.2067;0.304;0.304;0.304
S1.2;0.4;0.4;0.4;0.724;0.666;0.666;0.666
