Volumes,elapsed,HP,sampling,memory,init_feas,pvpq_feas,correct_feas
2.738046065220647e-8,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
1.660769899268731e-8,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
9.508983378071572e-9,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
7.426342112438109e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.873954592399813e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.931825072931566e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.4014776138689087e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.3761648300825373e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.391601498781122e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.3778933088379035e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.3753426901221545e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.3666142599520594e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.1936981295304453e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.1968137926603872e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.2157483673610685e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
1.9510810358811374e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
1.7522999722764922e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
1.7180028803004204e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
1.7378687678581166e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
1.727762529450263e-10,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.918095713903406e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.965398571605324e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
4.727399128704641e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.8757126527351756e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.929527317565462e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.95115190122391e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.8424414245862127e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.8559020207782163e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.91399719804888e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.8598387398001858e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.8589612207277154e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.805464716325057e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.8215145660697757e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.811799303660325e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.4602202387135205e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.4119948334115745e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.4735444339968434e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.4598443701014554e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.3817808884765505e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.3910259867518795e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.3474882081445216e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.3537650531528908e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.2998352623090237e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.253417945351981e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.3153579450455627e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.2965695613973613e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.2242671133179122e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.2139723511655352e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.2778537565913448e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
2.2928593891747543e-11,1059.7612427,341.2533774,694.6761573,13012956576,309,273,418
