PG3,PG5,PG7,VM6,VM1,VM8,VM2,VM9,VM12,VM3,PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9,PD10,PD11,PD12,PD13,PD14,PD15,PD16,PD17,PD18,PD19,PD20,PD21,PD22,PD23,PD24,PD25,PD26,PD27,PD28,PD29,PD30,PD31,PD32,PD33,PD34,PD35,PD36,PD37,PD38,PD39,PD40,PD41,PD42,Feas
0.5734003116992912,4.574117163430135,5.082198845771653,0.985185928789694,1.0342185145033531,1.0186032697699625,1.0175407011966773,0.9883191297051176,1.0063627540058988,0.9880359339667039,0.5712367071006809,0.03,0.41,0.13,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0
0.5722037853449695,4.613251989370149,5.05348299079722,1.0041705457389254,1.015737470218814,1.0230041606324767,1.0028223889803405,0.9905538177461791,1.0088578869859346,0.9863892983920015,0.5543710831365045,0.03,0.41,0.13,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0
0.5715531303198272,4.613371458580797,5.053206477858722,1.0042492722078469,1.0149989006289615,1.0234275598374671,1.0021652713378097,0.9906632389650459,1.0086230512447227,0.9860118740056127,0.5538975006457287,0.03,0.41,0.13,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0
0.5706298817931972,4.61380486817956,5.0533724838357585,1.0041641082590103,1.015122636397937,1.0233004735231623,1.002254759873136,0.9905155744623784,1.0083931387707705,0.9859918577498068,0.5539471406875325,0.03,0.41,0.13,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0
0.5844669280871244,4.623424845485147,5.056427518076954,1.0034346071738427,1.0090831460139538,1.0240795376886798,0.9969463357843442,0.9910832631964493,1.0102199902809212,0.9831691905041413,0.5586990055075288,0.03,0.41,0.13,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0
0.5772044849694068,4.624007286382684,5.035927929094112,1.0116016840005075,1.026254881260848,1.0336006326134421,1.0093432762294623,0.9928950623208669,0.9937732834021976,0.9878416165631676,0.5413446691654371,0.03,0.41,0.13,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0
0.5339007715634295,4.6689732337615215,5.0291148463920035,0.9968246371053582,1.032487704271744,1.0386927504141847,1.0172392713822804,0.9925668974208978,0.9830943097397651,0.9884884972151179,0.5657949847003948,0.03,0.41,0.13,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0
0.5282961938864524,4.657218624128949,5.040610309568403,0.9968567615028346,1.0282148973316196,1.031520962868466,1.0082535597683346,0.991683773794855,0.9940655664951268,0.9855751386723157,0.5749126190179149,0.03,0.41,0.13,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0
0.5341455010416339,4.665755225209125,5.055406931062904,1.0124063412626796,1.025271107472904,1.0403890269290266,1.0105255718222776,0.9934877811012578,0.9841878701152262,0.9844340710107162,0.5451219651595633,0.03,0.41,0.13,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0
0.5579404404400047,4.607970028651456,5.061947119039725,1.0023977718034658,1.0393815917271825,1.0385136174882663,1.0230371979266015,0.9976375874666618,1.0009549650319833,0.9951677596400307,0.5334531488718574,0.03,0.41,0.13,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0
